harfbuzz-icu 14.2.1-1
hdparm 9.65-3
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highway 1.4.0-1
htop 3.5.1-1
hunspell 1.7.3-1
hunspell-en_us 2026.02.25-1
hunspell-es_es 1:2.9-1
hunspell-fr 7.7-1
hwdata 0.409-1
hwloc 2.14.0-1
hyphen 2.8.9-1
hyprcursor 0.1.13-6
hyprgraphics 0.5.1-2
hyprland 0.55.4-1
hyprland-guiutils 0.2.1-6
hyprland-qt-support 0.1.0-12
hyprlang 0.6.8-4
hyprlock 0.9.5-4
hyprpicker 0.4.7-1
hyprtoolkit 0.5.4-2
hyprutils 0.13.1-1
hyprwayland-scanner 0.4.6-1
hyprwire 0.3.1-2
iana-etc 20260530-1
icu 78.3-1
ijs 0.35-7
imagemagick 7.1.2.26-1
imath 3.2.2-6
imlib2 1.12.6-1
imv 5.0.1-1
inetutils 2.8-1
iniparser 4.2.6-2
iproute2 7.1.0-1
iptables 1:1.8.13-1
iputils 20250605-1
iso-codes 4.20.1-1
iw 6.17-1
j4-dmenu-desktop 3.2-7
jansson 2.15.0-1
jasper 4.2.9-1
java-environment-common 3-6
java-runtime-common 3-6
jbig2dec 0.20-2
jbigkit 2.1-8
jdk-openjdk 26.0.1.u8-1
jdk17-openjdk 17.0.19.u10-1
jdk21-openjdk 21.0.11.u10-1
jemalloc 1:5.3.1-2
jq 1.8.2-1
json-c 0.19-1
json-glib 1.10.8-1
jsoncpp 1.9.6-3
kaccounts-integration 26.04.3-1
karchive 6.27.0-1
kbd 2.10.0-1
kbookmarks 6.27.0-1
kcmutils 6.27.0-1
kcodecs 6.27.0-1
kcolorscheme 6.27.0-1
kcompletion 6.27.0-1
kconfig 6.27.0-1
kconfigwidgets 6.27.0-1
kcoreaddons 6.27.0-1
kcrash 6.27.0-1
kdbusaddons 6.27.0-1
kdecoration 6.7.2-1
keyutils 1.6.3-4
kglobalaccel 6.27.0-1
kguiaddons 6.27.0-1
ki18n 6.27.0-1
kiconthemes 6.27.0-1
kio 6.27.0-1
kirigami 6.27.0-1
kismet 2025_09_R1-4
kitemmodels 6.27.0-1
kitemviews 6.27.0-1
kitty 0.47.4-1
kitty-shell-integration 0.47.4-1
kitty-terminfo 0.47.4-1
kjobwidgets 6.27.0-1
